filtered_barcode04.fastq	005645a7-ee05-44a8-a2d6-10d65df39de3	1778	2062	+	Col440II_1	2-281/282	========/======	9/25	95.74	78.64	plasmidfinder	CP023921.1	Col440II_1__CP023921.1	
filtered_barcode04.fastq	042ae3b7-ce12-4a2b-b6c5-86e53d7cfbeb	1284	1383	+	Col440I_1	1-103/114	========/=====.	3/3	87.72	84.47	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
filtered_barcode04.fastq	056bfb94-10a9-4417-b3c8-298c39dfabf8	1264	1460	-	ColpVC_1	1-193/193	========/======	8/14	97.41	90.59	plasmidfinder	JX133088	ColpVC_1__JX133088	
filtered_barcode04.fastq	05cfd45e-0e89-436d-bf89-aa6b75d0faac	1036	1219	+	ColpVC_1	1-193/193	========/======	7/15	93.78	89.29	plasmidfinder	JX133088	ColpVC_1__JX133088	
filtered_barcode04.fastq	06bfb90a-386f-4900-a3a3-23930add3156	2178	2444	+	Col440II_1	2-276/282	========/======	10/16	93.26	77.06	plasmidfinder	CP023921.1	Col440II_1__CP023921.1	
filtered_barcode04.fastq	088b4be5-619e-4e31-966f-64503c77de5f	2573	2701	-	ColRNAI_1	1-129/130	========/======	4/4	97.69	80.92	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
filtered_barcode04.fastq	088b4be5-619e-4e31-966f-64503c77de5f	3290	3541	-	Col440II_1	2-273/282	========/======	17/40	85.82	71.99	plasmidfinder	CP023921.1	Col440II_1__CP023921.1	
filtered_barcode04.fastq	09095f32-6621-4637-bf4d-a1933f791322	409	673	+	Col440II_1	4-272/282	========/======	15/22	90.78	73.74	plasmidfinder	CP023921.1	Col440II_1__CP023921.1	
filtered_barcode04.fastq	0940b115-6810-4106-8245-e8f36263e5c7	1552	1651	+	Col440I_1	12-114/114	.=======/======	4/5	86.84	86.54	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
filtered_barcode04.fastq	0a364195-7317-4c58-9ab7-9434f8ede1f3	3873	4140	+	Col440II_1	2-277/282	========/======	14/24	92.20	77.11	plasmidfinder	CP023921.1	Col440II_1__CP023921.1	
filtered_barcode04.fastq	0a52e9ca-d906-419f-af85-c58ec3a53efc	4145	4414	+	Col440II_1	20-281/282	========/======	10/22	90.43	76.17	plasmidfinder	CP023921.1	Col440II_1__CP023921.1	
filtered_barcode04.fastq	0c23b75a-d52e-421f-9733-c4accb297ab4	2316	2589	-	Col440II_1	2-281/282	========/======	11/18	95.04	78.67	plasmidfinder	CP023921.1	Col440II_1__CP023921.1	
filtered_barcode04.fastq	0dfc658e-7f6d-44ac-a539-1fa5ae81e03e	8	275	+	Col440II_1	2-272/282	========/======	10/13	93.26	79.71	plasmidfinder	CP023921.1	Col440II_1__CP023921.1	
filtered_barcode04.fastq	14c5f9bc-55e9-46f0-8f08-5c4c794863ed	2104	2205	-	Col440I_1	3-103/114	========/=====.	1/1	88.60	86.28	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
filtered_barcode04.fastq	16f97c68-dad5-4623-b46c-c241cb106de9	2726	3006	+	Col440II_1	2-281/282	========/======	10/21	95.74	76.98	plasmidfinder	CP023921.1	Col440II_1__CP023921.1	
filtered_barcode04.fastq	16f97c68-dad5-4623-b46c-c241cb106de9	3565	3690	+	ColRNAI_1	1-130/130	========/======	5/8	95.38	81.06	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
filtered_barcode04.fastq	1b5e6827-e153-4cf1-9ed4-c1121903491d	138	240	-	Col440I_1	7-110/114	========/======	3/3	89.47	82.86	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
filtered_barcode04.fastq	1baff2c7-30a0-4a96-868b-94d77dbf61aa	1921	2050	-	ColRNAI_1	1-128/130	========/======	3/4	97.69	80.15	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
filtered_barcode04.fastq	1bcf84a2-7e49-4bd7-8816-1d81bd88dc38	3905	4172	+	Col440II_1	2-276/282	========/======	11/27	91.49	77.54	plasmidfinder	CP023921.1	Col440II_1__CP023921.1	
filtered_barcode04.fastq	1bcf84a2-7e49-4bd7-8816-1d81bd88dc38	4766	4892	+	ColRNAI_1	1-130/130	========/======	4/5	96.92	83.97	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
